Source,Target,Type,Id,Label,timeset,Weight
guerilla,resources,Undirected,642,1,,1
guerilla,food,Undirected,643,1,,1
guerilla,economic,Undirected,644,1,,1
guerillagardening,guerrilla,Undirected,645,1,,1
guerrilla,guerrillagardening,Undirected,646,1,,1
guerrilla,autonomous,Undirected,647,1,,1
guerrilla,activism,Undirected,648,2,,2
guerrilla,people,Undirected,649,1,,1
guerrilla,social,Undirected,650,1,,1
guerrilla,counterterrorism,Undirected,651,1,,1
guerrilla,reference,Undirected,652,1,,1
guerrilla,isotope,Undirected,653,1,,1
guerrilla,earth,Undirected,654,1,,1
guerrilla,agriculture,Undirected,655,1,,1
guerrilla,nature,Undirected,656,1,,1
guerrilla,space,Undirected,657,1,,1
guerrilla,eco,Undirected,658,1,,1
guerrilla,ecology,Undirected,659,1,,1
guerrilla,food,Undirected,660,1,,1
guerrilla,economic,Undirected,661,1,,1
autonomous,cars,Undirected,662,1,,1
autonomous,activism,Undirected,663,1,,1
autonomous,counterterrorism,Undirected,664,1,,1
autonomous,ip,Undirected,665,1,,1
autonomous,reference,Undirected,666,1,,1
autonomous,mythesis,Undirected,667,1,,1
autonomous,religion,Undirected,668,1,,1
autonomous,isotope,Undirected,669,1,,1
autonomous,earth,Undirected,670,1,,1
autonomous,research,Undirected,671,1,,1
autonomous,challenge,Undirected,672,1,,1
autonomous,challenges,Undirected,673,1,,1
autonomous,ai,Undirected,674,1,,1
autonomous,soviet,Undirected,675,1,,1
